,sTime,sender,senderPseudo,receiver,AttackerType,rTotalSpeed,rAvgSpeed,sxspeed,syspeed,sTotalSpeed,sxacc,syacc,sTotalAcc,beaconRate,rDensity,disCover,SADis,TSmean,TSstd,newTime
0,25235.55748047259,81.0,10812.0,105.0,0.0,3.174579763435959,12.159511579105423,-4.836080632449184,-11.156435181492732,12.159511579105423,0.113569404984117,0.261943285264081,0.2855035804388205,1.0,1.0,0.0,0.0,12.159511579105423,0.0,30235.55748047259
1,25235.75872873365,33.0,10332.0,105.0,1.0,2.691434190855389,12.91703269719688,-13.625868321132838,1.152880974934246,13.674553815288336,-0.43058909294068,0.036745257370169,0.4321541170678321,1.0,2.0,0.0,0.0,12.91703269719688,0.7575211180914563,30235.75872873365
2,25236.557476313035,81.0,10812.0,105.0,0.0,0.7738456633381509,12.695123816943717,-5.137387928467416,-11.122128634435798,12.25130605643739,-0.112091833267347,-0.242718890922295,0.2673519012383934,1.0,2.0,12.252247147661562,12.216296045398344,12.695123816943717,0.6935747485600325,30236.557476313035
3,25236.7587245602,33.0,10332.0,105.0,1.0,0.290700124112394,13.20482393371248,-13.686415263154702,-0.245221937270282,13.68861192941171,-0.5699214975782181,-0.009942983062156,0.5700082247774791,2.0,2.0,0.0,13.459260167338863,13.20482393371248,0.6742633829375433,30236.7587245602
4,25237.55748525864,81.0,10812.0,105.0,0.0,1.626919898895753,12.94000362636097,-5.184443075449809,-11.034113916697208,12.191395323310228,0.004758765044756,0.01007873191138,0.0111457023866897,1.0,2.0,12.261718969730625,12.19525963843912,12.94000362636097,0.7486083030507409,30237.55748525864
5,25237.75873349277,33.0,10332.0,105.0,1.0,2.110065406837045,12.91507086470254,-13.625209252609858,-0.6075165449268181,13.638746406094848,-0.432238503425294,-0.019010302831779,0.4326563479912133,1.0,2.0,0.0,13.403648635190915,12.91507086470254,0.7236755413923097,30237.75873349277
6,25238.55748131932,81.0,10812.0,105.0,0.0,3.885438445707304,12.666691758232073,-5.847985785397267,-10.672785238661652,12.16993354529114,0.528492398251398,0.964462747257915,1.0997693421157906,1.0,2.0,12.284016014441876,12.193774696459448,12.666691758232073,0.6874022746556554,30238.55748131932
7,25238.758729551355,33.0,10332.0,105.0,1.0,4.303561318183291,13.147688869259222,-13.420195188558262,-2.407251668810078,13.634386656391673,0.44767313593794,0.080625405939239,0.4548754694676076,2.0,2.0,0.0,13.422628006197936,13.147688869259222,0.6913797109236536,30238.758729551355
8,25239.55747751965,81.0,10812.0,105.0,0.0,5.971343393432078,12.66998109483212,-6.224835992825707,-10.49898336517077,12.205623082813547,-0.257783202667826,-0.434810931535798,0.5054826661327864,1.0,2.0,12.274863342175,12.434178740369768,12.66998109483212,0.6820933470561478,30239.55747751965
9,25239.758725745723,33.0,10332.0,105.0,1.0,6.39324531511321,13.14456157949714,-13.380074812852078,-2.400332891225748,13.5936749992862,-0.063011332651334,-0.011046880829972,0.0639723504224182,2.0,2.0,0.0,13.858222372521166,13.14456157949714,0.6641377794664309,30239.758725745723
10,25240.55748686474,81.0,10812.0,105.0,0.0,8.184958398596061,12.903335541204278,-6.228596230661822,-10.505325426741775,12.212996083122354,0.215176691825083,0.36287853730425,0.4218789418077877,1.0,2.0,12.295846874179247,12.07673027697592,12.903335541204278,0.6903394580819233,30240.55748686474
